Long,Lat,OBJECTID,Ward,WardCode,State,StateCode,Lga,LgaCode,Shape_Leng,Shape_Area,Location_I
6.6171,8.3303,5511,MUYE/EGBA,9,NIGER,NG,LAPAI,12,0.7401656639,0.0170970652,LAPAIMUYE/EGBA
5.5185,10.3530,5520,NAGWAMATSE,8,NIGER,NG,KONTAGORA,11,0.3714265333,0.0077211129,KONTAGORANAGWAMATSE
6.5423,12.3785,5521,NAHUCE,6,ZAMFARA,ZF,BUNGUDU,5,0.255697498,0.0045039008,BUNGUDUNAHUCE
4.4214,11.7139,5540,NASAGUDU,6,SOKOTO,SO,KEBBE,11,0.2624713338,0.0030040721,KEBBENASAGUDU
5.7258,12.0124,5541,NASARAWA,6,ZAMFARA,ZF,BUKKUYUM,4,0.3894607906,0.0085826063,BUKKUYUMNASARAWA
5.7404,12.8028,5543,NASARAWA,8,ZAMFARA,ZF,BAKURA,2,0.3679164239,0.0070404376,BAKURANASARAWA
6.9177,12.5003,5551,NASARAWA GODAL EAST,9,ZAMFARA,ZF,BIRNIN MAGAJI,3,0.4402611616,0.0073457783,BIRNIN MAGAJINASARAWA GODAL EAST
6.7867,12.5424,5552,NASARAWA GODAL WEST,10,ZAMFARA,ZF,BIRNIN MAGAJI,3,0.2718747553,0.004206289,BIRNIN MAGAJINASARAWA GODAL WEST
4.9516,10.5249,5557,NASKO,10,NIGER,NG,MAGAMA,14,0.8089676977,0.0335896157,MAGAMANASKO
6.0175,9.0701,5558,NASSARAFU,11,NIGER,NG,BIDA,3,0.0542217542,0.00007969368,BIDANASSARAFU
4.6223,9.9556,5559,NASSARAWA,11,NIGER,NG,MAGAMA,14,0.4304120974,0.0033122488,MAGAMANASSARAWA
4.2104,12.4474,5560,NASSARAWA - I,1,KEBBI,KB,BIRNIN KEBBI,6,0.151391537,0.0007565419,BIRNIN KEBBINASSARAWA - I
6.5503,9.6205,5561,NASSARAWA \A\,6,NIGER,NG,CHANCHAGA,6,0.0226094332,0.00002445323,CHANCHAGANASSARAWA \A\
6.5498,9.6239,5562,NASSARAWA \B\,7,NIGER,NG,CHANCHAGA,6,0.0235546881,0.0000263423,CHANCHAGANASSARAWA \B\
